date,lat,lon,region,sea_temperature,salinity,fish_stock_index,biodiversity_index,eDNA_detected_species,invasive_species_flag
2025-09-19,-29.0069,-10.9079,South Atlantic,17.1,35.31,83.0,80.0,"Cod,Salmon",no
2025-02-14,16.0582,89.3005,Bay of Bengal,20.73,34.2,72.78,63.31,"Anchovy,Mackerel",no
2025-06-05,-28.0983,-9.991,South Atlantic,22.04,35.01,58.17,69.05,"Salmon,Sardine",yes
2025-08-13,44.3269,-31.5022,North Atlantic,10.07,32.43,43.93,57.79,"Tuna,Grouper",no
2025-06-30,16.8591,88.0196,Bay of Bengal,21.9,34.61,68.37,36.63,"Grouper,Snapper",no
2025-04-24,-29.8918,-10.0139,South Atlantic,26.27,35.78,55.48,50.09,"Sardine,Salmon,Grouper",yes
2025-04-08,54.9958,-145.0416,Gulf of Alaska,16.65,35.21,74.08,47.5,"Sardine,Mackerel",no
2025-06-08,-14.6942,77.713,Indian Ocean,14.84,33.19,69.12,49.5,"Sardine,Grouper",no
2024-10-01,17.3878,64.3289,Arabian Sea,34.67,31.93,51.38,56.47,"Anchovy,Sardine,Salmon",no
2025-01-13,56.3342,-148.4611,Gulf of Alaska,28.72,33.32,59.87,53.84,"Mackerel,Tuna",yes
2024-10-08,-13.6349,84.3354,Indian Ocean,19.54,33.7,55.78,60.77,"Tuna,Mackerel",no
2025-01-06,-29.3196,-6.043,South Atlantic,35.0,33.12,50.35,63.53,"Tuna,Cod",no
2025-04-26,12.1857,112.3312,South China Sea,17.55,31.9,53.66,62.35,"Cod,Mackerel,Anchovy",no
2025-03-27,15.0255,89.3848,Bay of Bengal,21.08,33.02,76.1,79.03,"Sardine,Mackerel,Salmon",no
2024-11-06,-26.2741,-6.6097,South Atlantic,23.68,34.9,63.83,47.34,"Snapper,Grouper,Cod",no
2025-05-30,-17.3838,83.9107,Indian Ocean,25.04,36.23,53.2,40.02,"Cod,Salmon,Tuna",no
2024-12-30,55.237,-144.599,Gulf of Alaska,17.83,34.53,59.78,67.76,"Anchovy,Grouper",yes
2024-10-25,-30.7075,-10.5525,South Atlantic,18.38,36.66,68.26,48.79,"Tuna,Snapper",no
2024-12-30,-15.7892,77.9424,Indian Ocean,28.29,33.75,62.3,64.5,"Snapper,Cod,Tuna",no
2024-12-06,-14.9886,85.1564,Indian Ocean,6.08,31.0,40.73,50.16,"Anchovy,Salmon,Snapper",no
2025-06-28,-16.1527,83.0571,Indian Ocean,26.18,34.28,63.26,66.89,"Tuna,Salmon",no
2024-11-28,-14.6682,80.004,Indian Ocean,28.84,30.32,34.15,32.37,"Mackerel,Cod",no
2025-09-04,10.478,84.0445,Bay of Bengal,14.83,37.69,81.69,41.63,"Snapper,Grouper",yes
2025-08-29,6.2756,111.6494,South China Sea,14.01,33.87,46.02,55.22,"Grouper,Tuna,Cod",no
2025-06-26,19.2524,60.0385,Arabian Sea,25.13,32.8,62.07,58.87,"Sardine,Cod",no
2025-04-30,-28.9039,-8.1611,South Atlantic,19.15,36.3,77.77,50.43,"Anchovy,Grouper,Sardine",no
2025-01-26,17.8815,108.316,South China Sea,14.44,36.23,52.3,37.99,"Mackerel,Tuna",no
2025-04-02,14.6928,85.0483,Bay of Bengal,15.95,32.93,57.11,87.04,"Sardine,Mackerel",no
2025-08-29,13.5328,86.4421,Bay of Bengal,15.72,30.02,51.66,23.38,"Tuna,Sardine,Anchovy",no
2025-02-19,15.9749,111.8667,South China Sea,27.74,34.62,58.34,51.11,"Tuna,Grouper",no
2024-10-16,53.2701,-146.3214,Gulf of Alaska,23.4,33.18,47.98,46.67,"Tuna,Snapper",no
2025-01-07,18.2595,64.981,Arabian Sea,15.24,34.04,70.2,72.22,"Cod,Tuna,Grouper",no
2025-07-12,51.9961,-142.9492,Gulf of Alaska,16.81,35.57,68.31,52.22,"Tuna,Anchovy,Salmon",no
2025-06-17,-19.6781,82.9019,Indian Ocean,29.1,32.8,50.82,50.32,"Mackerel,Grouper",no
2025-09-13,44.8844,-124.7811,Pacific Northwest,17.11,35.5,69.19,67.05,"Grouper,Mackerel",no
2025-06-27,54.6535,-150.5082,Gulf of Alaska,23.97,34.98,63.99,78.57,"Sardine,Anchovy,Snapper",no
2025-07-30,13.1192,110.1292,South China Sea,20.14,33.1,81.92,64.87,"Mackerel,Sardine",yes
2025-01-24,-36.5118,-16.0423,South Atlantic,24.78,34.09,58.95,48.63,"Tuna,Salmon,Anchovy",no
2025-09-19,47.4726,-129.4909,Pacific Northwest,17.37,33.41,47.44,65.13,"Anchovy,Mackerel",no
2024-10-21,38.0157,-33.4724,North Atlantic,14.21,34.08,41.57,71.97,"Salmon,Sardine,Anchovy",no
2024-12-22,32.5579,-32.9893,North Atlantic,27.4,30.0,47.73,30.84,"Mackerel,Anchovy,Cod",no
2024-12-13,16.2119,88.6964,Bay of Bengal,31.02,33.7,47.73,45.66,"Grouper,Tuna,Snapper",no
2025-04-23,53.3177,-148.0667,Gulf of Alaska,10.62,34.34,64.92,66.8,"Sardine,Anchovy",no
2025-03-06,14.2261,106.366,South China Sea,13.55,35.31,63.8,63.37,"Anchovy,Snapper",no
2024-12-22,19.9737,72.1322,Arabian Sea,18.72,32.8,72.84,64.28,"Tuna,Mackerel",no
2025-02-05,46.9295,-29.0195,North Atlantic,15.61,35.37,64.12,55.1,"Cod,Grouper,Mackerel",no
2025-06-29,19.0579,69.7389,Arabian Sea,22.8,33.44,55.33,57.25,"Snapper,Tuna,Grouper",no
2025-07-10,20.7489,58.8004,Arabian Sea,25.17,33.43,59.43,48.63,"Anchovy,Salmon",no
2025-05-27,57.8788,-152.5443,Gulf of Alaska,24.97,34.61,40.0,61.67,"Sardine,Grouper,Tuna",no
2025-01-11,15.5318,87.8737,Bay of Bengal,28.84,35.84,19.65,52.0,"Tuna,Snapper,Cod",no
2025-01-04,40.2825,-26.2537,North Atlantic,13.48,34.5,51.8,54.41,"Tuna,Anchovy",no
2024-10-25,46.3866,-135.6137,Pacific Northwest,31.17,34.9,41.83,67.39,"Mackerel,Cod",no
2024-10-08,44.028,-130.6122,Pacific Northwest,17.05,33.13,75.05,63.72,"Salmon,Grouper",no
2025-05-22,13.5396,110.7435,South China Sea,33.38,31.65,51.85,69.66,"Salmon,Mackerel,Tuna",no
2025-03-15,-12.0135,82.9134,Indian Ocean,20.17,33.67,63.57,68.06,"Sardine,Snapper",no
2024-11-30,12.2657,89.4733,Bay of Bengal,25.53,34.98,62.4,56.84,"Grouper,Anchovy,Sardine",no
2025-07-21,10.0936,87.7108,Bay of Bengal,19.5,33.34,37.45,46.73,"Sardine,Cod",no
2025-08-26,-13.9182,75.8279,Indian Ocean,28.63,33.78,51.64,91.83,"Sardine,Snapper",no
2025-03-23,53.2203,-148.9766,Gulf of Alaska,23.06,33.84,55.93,81.82,"Cod,Tuna,Snapper",no
2024-12-03,55.2722,-142.644,Gulf of Alaska,22.14,35.44,54.47,47.53,"Cod,Mackerel,Anchovy",no
2025-05-11,40.1208,-33.8592,North Atlantic,11.84,31.86,40.0,55.61,"Salmon,Mackerel,Sardine",no
2025-02-07,38.2188,-130.5723,Pacific Northwest,19.02,37.14,53.38,44.59,"Grouper,Mackerel,Snapper",no
2025-02-15,19.6899,64.3438,Arabian Sea,21.98,35.17,53.95,69.7,"Snapper,Sardine",no
2025-07-13,45.5362,-131.8489,Pacific Northwest,19.86,33.07,55.56,56.09,"Salmon,Tuna",no
2024-12-20,51.5497,-145.8641,Gulf of Alaska,12.91,33.15,53.58,76.65,"Grouper,Salmon,Sardine",no
2024-12-17,41.4962,-36.3216,North Atlantic,19.74,37.0,67.84,50.83,"Grouper,Snapper",no
2025-06-06,6.0076,106.953,South China Sea,21.26,32.93,76.6,55.86,"Mackerel,Cod",no
2025-05-09,36.751,-130.7024,Pacific Northwest,18.87,33.36,79.05,76.2,"Tuna,Salmon,Mackerel",yes
2025-04-23,41.8518,-28.3339,North Atlantic,21.86,35.47,50.64,81.74,"Salmon,Mackerel",no
2024-12-04,34.938,-32.7908,North Atlantic,29.1,33.61,56.2,65.89,"Cod,Anchovy,Grouper",no
2025-07-21,-15.71,74.6578,Indian Ocean,15.18,34.83,68.32,42.06,"Salmon,Mackerel,Snapper",no
2025-05-11,10.9036,107.8723,South China Sea,16.23,32.91,74.17,69.24,"Snapper,Tuna,Cod",no
2025-08-26,40.4198,-32.4497,North Atlantic,13.12,32.59,53.89,43.99,"Mackerel,Tuna,Sardine",no
2024-09-25,35.2387,-29.9246,North Atlantic,18.68,34.51,68.51,45.0,"Cod,Mackerel",no
2025-05-28,18.0863,80.3574,Bay of Bengal,22.07,35.78,60.32,62.68,"Mackerel,Grouper",no
2024-11-14,40.1373,-137.033,Pacific Northwest,25.66,32.52,50.13,40.98,"Grouper,Salmon",no
2025-04-04,52.8113,-146.8661,Gulf of Alaska,22.72,34.48,62.96,81.53,"Salmon,Snapper,Anchovy",no
2024-10-25,-26.6019,-6.2064,South Atlantic,11.47,33.53,70.52,68.75,"Cod,Mackerel,Snapper",no
2024-12-10,53.8486,-147.1353,Gulf of Alaska,18.49,33.94,69.81,56.54,"Cod,Sardine,Anchovy",no
2025-08-29,-35.331,-9.028,South Atlantic,15.44,34.87,65.34,69.81,"Grouper,Snapper",no
2025-02-14,58.3962,-155.0329,Gulf of Alaska,29.54,34.56,57.69,47.55,"Snapper,Cod,Mackerel",no
2025-04-08,17.9489,64.8492,Arabian Sea,26.51,31.35,62.72,51.86,"Cod,Grouper,Tuna",no
2025-09-18,13.5091,104.7577,South China Sea,23.89,31.76,58.75,52.38,"Tuna,Cod,Snapper",no
2025-08-03,42.9176,-131.5198,Pacific Northwest,27.64,34.8,46.87,58.14,"Salmon,Cod",no
2025-01-24,6.7206,114.2554,South China Sea,20.77,37.58,53.46,45.87,"Snapper,Anchovy,Cod",no
2024-10-19,52.9114,-147.3281,Gulf of Alaska,20.01,34.42,58.99,61.81,"Mackerel,Anchovy,Snapper",no
2025-03-18,-13.6499,79.3177,Indian Ocean,10.31,35.48,58.26,48.87,"Salmon,Cod,Snapper",yes
2025-03-09,-18.0762,78.3866,Indian Ocean,27.37,33.04,57.66,53.74,"Snapper,Mackerel",yes
2025-07-28,42.6192,-31.6044,North Atlantic,10.56,31.93,49.81,39.65,"Tuna,Anchovy",no
2025-02-20,62.1238,-153.2131,Gulf of Alaska,21.22,32.31,58.62,58.24,"Tuna,Mackerel,Cod",no
2025-08-28,60.7087,-149.3603,Gulf of Alaska,21.56,35.54,61.24,50.34,"Snapper,Sardine,Grouper",no
2025-09-13,-15.3395,76.9619,Indian Ocean,20.76,33.12,59.2,67.9,"Snapper,Sardine,Tuna",no
2024-11-11,7.8069,110.0119,South China Sea,31.54,35.69,43.9,45.26,"Salmon,Tuna",no
2024-10-25,40.1126,-30.2726,North Atlantic,19.82,33.68,51.95,57.19,"Mackerel,Snapper,Salmon",no
2024-11-24,-15.5687,77.5407,Indian Ocean,20.67,33.42,79.44,68.16,"Salmon,Cod",no
2025-09-06,37.676,-31.731,North Atlantic,21.88,33.26,71.16,52.02,"Sardine,Salmon,Cod",no
2024-11-03,13.3031,90.2976,Bay of Bengal,23.77,36.56,81.13,39.81,"Grouper,Tuna",yes
2025-01-21,42.6672,-131.8902,Pacific Northwest,13.66,32.42,59.87,42.51,"Grouper,Snapper,Salmon",no
2025-01-22,26.4287,62.6458,Arabian Sea,20.43,32.06,82.2,68.72,"Mackerel,Sardine",no
2025-08-29,-14.368,76.6357,Indian Ocean,28.77,35.21,49.41,29.69,"Anchovy,Tuna",no
2025-01-24,-11.3613,83.3275,Indian Ocean,10.45,34.45,65.05,42.84,"Grouper,Cod",yes
2025-05-17,-30.9023,-15.5565,South Atlantic,18.05,33.51,68.43,55.78,"Snapper,Tuna",no
2025-02-17,41.3274,-30.9133,North Atlantic,17.54,34.14,49.88,70.03,"Mackerel,Salmon,Grouper",no
2024-11-20,-12.1178,74.1416,Indian Ocean,8.16,34.41,50.24,64.99,"Grouper,Sardine,Cod",no
2025-06-25,14.7979,113.4519,South China Sea,18.44,30.84,76.82,63.85,"Snapper,Cod,Grouper",no
2025-05-25,17.0214,89.5816,Bay of Bengal,29.35,32.69,45.03,67.4,"Mackerel,Sardine,Tuna",no
2024-10-07,16.2438,88.736,Bay of Bengal,20.53,34.33,62.36,81.09,"Mackerel,Sardine",no
2025-02-25,18.033,66.6369,Arabian Sea,11.02,32.03,35.65,55.57,"Snapper,Anchovy",no
2024-11-27,46.9841,-131.9246,Pacific Northwest,21.39,33.55,69.95,68.46,"Sardine,Tuna",no
2025-07-14,-26.8688,-8.8199,South Atlantic,11.62,34.98,46.39,77.03,"Anchovy,Sardine",no
2025-05-10,18.4717,63.3729,Arabian Sea,24.07,33.44,60.21,72.68,"Snapper,Salmon,Mackerel",no
2024-11-14,36.4169,-33.1934,North Atlantic,9.03,35.09,70.15,76.63,"Anchovy,Mackerel,Cod",no
2025-06-18,22.2663,62.6296,Arabian Sea,20.61,30.99,67.45,37.18,"Mackerel,Sardine",no
2025-04-02,56.6286,-144.9265,Gulf of Alaska,15.3,32.29,43.04,53.28,"Anchovy,Mackerel,Salmon",no
2025-04-21,19.3591,62.6501,Arabian Sea,13.55,33.17,71.8,68.08,"Sardine,Tuna",yes
2025-01-12,-18.4827,80.0971,Indian Ocean,20.88,33.3,68.59,52.11,"Snapper,Sardine,Mackerel",no
2025-07-09,9.2485,67.5709,Arabian Sea,1.71,33.08,47.68,56.57,"Sardine,Grouper",no
